Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Batch [0/1299] D_loss: -2.1530, G_loss: 1.0039
  Batch [370/1299] D_loss: -0.4151, G_loss: -0.3160
  Batch [380/1299] D_loss: -0.5510, G_loss: -1.5539
  Batch [390/1299] D_loss: -0.1709, G_loss: 0.6457
  Batch [400/1299] D_loss: -0.2509, G_loss: 0.8806
  Batch [410/1299] D_loss: -0.3122, G_loss: -0.5584
  Batch [420/1299] D_loss: -0.6009, G_loss: -1.6611
  Batch [430/1299] D_loss: -0.2549, G_loss: 1.8219
  Batch [440/1299] D_loss: -0.3758, G_loss: -0.8730
  Batch [450/1299] D_loss: -0.4023, G_loss: 0.9206
  Batch [460/1299] D_loss: -0.4214, G_loss: -0.1571
  Batch [470/1299] D_loss: -0.2595, G_loss: 0.0443
  Batch [480/1299] D_loss: -0.3546, G_loss: -0.5627
  Batch [490/1299] D_loss: -0.2346, G_loss: -0.3465
  Batch [500/1299] D_loss: -0.1167, G_loss: -0.1115
  Batch [510/1299] D_loss: -0.2977, G_loss: -0.4178
  Batch [520/1299] D_loss: -0.1554, G_loss: 0.6297
  Batch [530/1299] D_loss: -0.3455, G_loss: 0.0413
  Batch [540/1299] D_loss: -0.2646, G_loss: -0.3109
  Batch [550/1299] D_loss: -0.1883, G_loss: 0.2379
  Batch [560/1299] D_loss: -0.2666, G_loss: 0.0018
  Batch [570/1299] D_loss: -0.4610, G_loss: -1.1032
  Batch [580/1299] D_loss: -0.2517, G_loss: 0.9823
  Batch [590/1299] D_loss: -0.2737, G_loss: 0.4487
  Batch [600/1299] D_loss: -0.2264, G_loss: 0.5605
  Batch [610/1299] D_loss: -0.0796, G_loss: -0.1777
  Batch [620/1299] D_loss: -0.3916, G_loss: 1.1219
  Batch [630/1299] D_loss: -0.2937, G_loss: -0.3472
  Batch [640/1299] D_loss: -0.3958, G_loss: -0.1211
  Batch [650/1299] D_loss: -0.2811, G_loss: -1.1841
  Batch [660/1299] D_loss: -0.3686, G_loss: 0.5361
  Batch [670/1299] D_loss: -0.2832, G_loss: 0.8757
  Batch [680/1299] D_loss: -0.7169, G_loss: -1.4085
  Batch [690/1299] D_loss: -0.3064, G_loss: 1.8926
  Batch [700/1299] D_loss: -0.0300, G_loss: -0.8339
  Batch [710/1299] D_loss: 0.0314, G_loss: -0.1970
  Batch [720/1299] D_loss: 0.0814, G_loss: 0.9594
  Batch [730/1299] D_loss: -0.1723, G_loss: -0.5855
  Batch [740/1299] D_loss: -0.0338, G_loss: -0.2010
  Batch [750/1299] D_loss: -0.2743, G_loss: 0.0729
  Batch [760/1299] D_loss: -0.4051, G_loss: -0.6758
  Batch [770/1299] D_loss: -0.4271, G_loss: 0.4495
  Batch [780/1299] D_loss: -0.2692, G_loss: 0.4606
  Batch [790/1299] D_loss: -0.2379, G_loss: -1.2155
  Batch [800/1299] D_loss: -0.4817, G_loss: 0.3444
  Batch [810/1299] D_loss: -0.2138, G_loss: -0.5331
  Batch [820/1299] D_loss: -0.3716, G_loss: -0.8883
  Batch [830/1299] D_loss: -0.3053, G_loss: 0.4183
  Batch [840/1299] D_loss: -0.7616, G_loss: -0.9512
  Batch [850/1299] D_loss: -0.3634, G_loss: 0.0278
  Batch [860/1299] D_loss: -0.2944, G_loss: 0.4447
  Batch [870/1299] D_loss: -0.3064, G_loss: 0.5294
  Batch [880/1299] D_loss: -0.3294, G_loss: 0.2982
  Batch [890/1299] D_loss: -0.1542, G_loss: -0.3121
  Batch [900/1299] D_loss: -0.4418, G_loss: -0.7449
  Batch [910/1299] D_loss: -0.8367, G_loss: 1.0312
  Batch [920/1299] D_loss: -0.3203, G_loss: -0.8225
  Batch [930/1299] D_loss: -0.2435, G_loss: 0.5222
  Batch [940/1299] D_loss: -0.3053, G_loss: 0.5168
  Batch [950/1299] D_loss: -0.2354, G_loss: -0.3902
  Batch [960/1299] D_loss: -0.2493, G_loss: -0.5302
  Batch [970/1299] D_loss: -0.1896, G_loss: 0.0889
  Batch [980/1299] D_loss: -0.2507, G_loss: 1.0194
  Batch [990/1299] D_loss: -0.2411, G_loss: 0.3558
  Batch [1000/1299] D_loss: -0.3853, G_loss: -1.1200
  Batch [1010/1299] D_loss: -0.4231, G_loss: -1.0421
  Batch [1020/1299] D_loss: -0.1213, G_loss: -0.0033
  Batch [1030/1299] D_loss: -0.2608, G_loss: 0.1113
  Batch [1040/1299] D_loss: -0.7546, G_loss: -1.4447
  Batch [1050/1299] D_loss: -0.2169, G_loss: 0.4638
  Batch [1060/1299] D_loss: -0.1362, G_loss: -0.1038
  Batch [1070/1299] D_loss: -0.2305, G_loss: 0.1710
  Batch [1080/1299] D_loss: -0.2483, G_loss: -0.1541
  Batch [1090/1299] D_loss: -0.1279, G_loss: 0.1908
  Batch [1100/1299] D_loss: -0.1325, G_loss: -0.1761
  Batch [1110/1299] D_loss: -0.0453, G_loss: -0.0374
  Batch [1120/1299] D_loss: -0.1144, G_loss: -0.0903
  Batch [1130/1299] D_loss: -0.5574, G_loss: -0.3933
  Batch [1140/1299] D_loss: -0.5342, G_loss: -0.2351
  Batch [1150/1299] D_loss: -0.2157, G_loss: 0.1945
  Batch [1160/1299] D_loss: -0.5858, G_loss: 1.2847
  Batch [1170/1299] D_loss: -0.3244, G_loss: 0.6759
  Batch [1180/1299] D_loss: -0.3805, G_loss: 0.4958
  Batch [1190/1299] D_loss: -0.3269, G_loss: 1.4337
  Batch [1200/1299] D_loss: -0.1415, G_loss: -0.3644
  Batch [1210/1299] D_loss: -0.3522, G_loss: 0.7713
  Batch [1220/1299] D_loss: -0.4141, G_loss: -0.0131
  Batch [1230/1299] D_loss: -0.3346, G_loss: 1.0053
  Batch [1240/1299] D_loss: -0.4867, G_loss: 0.6207
  Batch [1250/1299] D_loss: -0.6033, G_loss: 1.1143
  Batch [1260/1299] D_loss: -0.4578, G_loss: -0.7048
  Batch [1270/1299] D_loss: -0.3053, G_loss: 0.3937
  Batch [1280/1299] D_loss: -0.1829, G_loss: 0.9173
  Batch [1290/1299] D_loss: -0.3586, G_loss: 0.2647

Epoch 13 Summary:
  Average D_loss: -0.1626
  Average G_loss: 0.0147

Epoch [14/200]
  Batch [0/1299] D_loss: 0.0037, G_loss: 0.5290
  Batch [10/1299] D_loss: -0.5255, G_loss: -0.9332
  Batch [20/1299] D_loss: -0.0419, G_loss: -0.1784
  Batch [30/1299] D_loss: -0.1430, G_loss: 0.1986
  Batch [40/1299] D_loss: -0.3183, G_loss: -0.0961
  Batch [50/1299] D_loss: -0.7705, G_loss: 1.4339
  Batch [60/1299] D_loss: -0.2872, G_loss: -0.0456
  Batch [70/1299] D_loss: -0.0722, G_loss: -0.9561
  Batch [80/1299] D_loss: -0.2672, G_loss: 0.9314
  Batch [90/1299] D_loss: 0.0129, G_loss: 0.2852
  Batch [100/1299] D_loss: -0.3050, G_loss: 0.3962
  Batch [110/1299] D_loss: -0.8013, G_loss: -1.1727
  Batch [120/1299] D_loss: -0.2742, G_loss: 1.1823
  Batch [130/1299] D_loss: -0.3516, G_loss: -0.7337
  Batch [140/1299] D_loss: -0.3433, G_loss: -0.0931
  Batch [150/1299] D_loss: -0.1760, G_loss: 0.4210
  Batch [160/1299] D_loss: -0.2578, G_loss: -0.8113
  Batch [170/1299] D_loss: -0.5155, G_loss: 0.4717
  Batch [180/1299] D_loss: -0.2832, G_loss: 0.0439
  Batch [190/1299] D_loss: -0.5714, G_loss: -0.7304
  Batch [200/1299] D_loss: -0.4551, G_loss: 0.9527
  Batch [210/1299] D_loss: -0.4754, G_loss: 0.3652
  Batch [220/1299] D_loss: -0.2357, G_loss: 0.1310
  Batch [230/1299] D_loss: -0.4390, G_loss: -0.9549
  Batch [240/1299] D_loss: -0.2935, G_loss: -0.1392
  Batch [250/1299] D_loss: -0.2163, G_loss: 0.0467
  Batch [260/1299] D_loss: -0.3206, G_loss: -0.1529
  Batch [270/1299] D_loss: -0.2887, G_loss: -0.0934
  Batch [280/1299] D_loss: -0.2245, G_loss: 0.6853
  Batch [290/1299] D_loss: -0.5717, G_loss: -0.0978
  Batch [300/1299] D_loss: -0.4655, G_loss: 0.1461
  Batch [310/1299] D_loss: -0.5726, G_loss: -0.0917
  Batch [320/1299] D_loss: -0.1069, G_loss: 0.1477
  Batch [330/1299] D_loss: -0.4669, G_loss: -0.2907
  Batch [340/1299] D_loss: -0.3252, G_loss: 0.7821
  Batch [350/1299] D_loss: -0.2730, G_loss: 0.4250
  Batch [360/1299] D_loss: -0.4112, G_loss: -0.0698
  Batch [370/1299] D_loss: -0.3623, G_loss: -0.3577
  Batch [380/1299] D_loss: -0.4884, G_loss: -0.1678
  Batch [390/1299] D_loss: -0.3230, G_loss: 1.4955
  Batch [400/1299] D_loss: -0.6183, G_loss: -1.5724
  Batch [410/1299] D_loss: -0.3778, G_loss: 0.7308
  Batch [420/1299] D_loss: -0.0336, G_loss: 1.0054
  Batch [430/1299] D_loss: -0.4548, G_loss: -1.2304
  Batch [440/1299] D_loss: -0.1995, G_loss: -0.1765
  Batch [450/1299] D_loss: -0.2727, G_loss: 0.3828
  Batch [460/1299] D_loss: -0.2741, G_loss: 0.0458
  Batch [470/1299] D_loss: -0.2053, G_loss: -0.3053
  Batch [480/1299] D_loss: -0.0940, G_loss: -0.3359
  Batch [490/1299] D_loss: -0.5162, G_loss: 1.3073
  Batch [500/1299] D_loss: -0.0674, G_loss: -0.8377
  Batch [510/1299] D_loss: -0.4504, G_loss: 1.5483
  Batch [520/1299] D_loss: -0.6030, G_loss: -1.7644
  Batch [530/1299] D_loss: -0.5406, G_loss: 1.2131
  Batch [540/1299] D_loss: -0.1917, G_loss: -0.9606
  Batch [550/1299] D_loss: -0.2974, G_loss: 1.1988
  Batch [560/1299] D_loss: -0.5933, G_loss: 0.8903
  Batch [570/1299] D_loss: -0.3761, G_loss: -0.0637
  Batch [580/1299] D_loss: -0.3626, G_loss: 0.7361
  Batch [590/1299] D_loss: -0.2615, G_loss: -0.1198
  Batch [600/1299] D_loss: -0.3291, G_loss: 0.1829
  Batch [610/1299] D_loss: -0.2163, G_loss: -0.3007
  Batch [620/1299] D_loss: -0.3369, G_loss: 0.2337
  Batch [630/1299] D_loss: 0.0952, G_loss: -1.0633
  Batch [640/1299] D_loss: -0.5799, G_loss: 0.4891
  Batch [650/1299] D_loss: -0.2514, G_loss: 0.4937
  Batch [660/1299] D_loss: -0.2975, G_loss: 0.2766
  Batch [670/1299] D_loss: -0.1552, G_loss: -0.0469
  Batch [680/1299] D_loss: -0.3313, G_loss: 0.5482
  Batch [690/1299] D_loss: -0.3327, G_loss: -0.1082
  Batch [700/1299] D_loss: -0.5739, G_loss: 0.6361
  Batch [710/1299] D_loss: -0.3056, G_loss: -0.4016
  Batch [720/1299] D_loss: -0.3418, G_loss: 0.7535
  Batch [730/1299] D_loss: -0.1166, G_loss: -0.2506
  Batch [740/1299] D_loss: -0.4693, G_loss: 0.6515
  Batch [750/1299] D_loss: -0.4971, G_loss: 0.8539
  Batch [760/1299] D_loss: -0.7327, G_loss: 0.3060
  Batch [770/1299] D_loss: -0.0768, G_loss: -0.9362
  Batch [780/1299] D_loss: -0.4936, G_loss: -1.1813
  Batch [790/1299] D_loss: -0.3389, G_loss: 2.3007
  Batch [800/1299] D_loss: -0.0460, G_loss: -0.1515
  Batch [810/1299] D_loss: -0.1445, G_loss: -0.5074
  Batch [820/1299] D_loss: -0.2566, G_loss: 0.0482
  Batch [830/1299] D_loss: -0.4969, G_loss: 0.1693
  Batch [840/1299] D_loss: -0.2002, G_loss: -0.1179
  Batch [850/1299] D_loss: -0.5574, G_loss: 0.2079
  Batch [860/1299] D_loss: -0.3500, G_loss: -0.7477
  Batch [870/1299] D_loss: -0.3505, G_loss: -0.4755
  Batch [880/1299] D_loss: -0.4913, G_loss: 0.3657
  Batch [890/1299] D_loss: -0.2162, G_loss: -0.1788
  Batch [900/1299] D_loss: -0.2403, G_loss: -0.2946
  Batch [910/1299] D_loss: -0.6305, G_loss: -0.4299
  Batch [920/1299] D_loss: -0.3747, G_loss: 0.2071
  Batch [930/1299] D_loss: -0.3376, G_loss: -0.2739
  Batch [940/1299] D_loss: -0.2092, G_loss: 0.0316
  Batch [950/1299] D_loss: -0.1231, G_loss: -0.0459
  Batch [960/1299] D_loss: -0.3800, G_loss: -0.2470
  Batch [970/1299] D_loss: -0.4952, G_loss: 0.7194
  Batch [980/1299] D_loss: 0.1086, G_loss: -0.9147
  Batch [990/1299] D_loss: -0.5580, G_loss: 0.9259
  Batch [1000/1299] D_loss: -0.1801, G_loss: 0.8535
  Batch [1010/1299] D_loss: 0.1362, G_loss: -0.2461
  Batch [1020/1299] D_loss: -0.1282, G_loss: -0.7563
  Batch [1030/1299] D_loss: 0.1687, G_loss: 0.0863
  Batch [1040/1299] D_loss: -0.3077, G_loss: 0.7038
  Batch [1050/1299] D_loss: -0.2382, G_loss: -0.5009
  Batch [1060/1299] D_loss: -0.2537, G_loss: -0.8211
  Batch [1070/1299] D_loss: -0.2528, G_loss: -0.0023
  Batch [1080/1299] D_loss: -0.4204, G_loss: -1.1346
  Batch [1090/1299] D_loss: -0.3820, G_loss: -0.1656
  Batch [1100/1299] D_loss: -0.2301, G_loss: 0.2057
  Batch [1110/1299] D_loss: -0.3824, G_loss: -0.2006
  Batch [1120/1299] D_loss: -0.5058, G_loss: -0.9180
  Batch [1130/1299] D_loss: -0.3707, G_loss: 0.0049
  Batch [1140/1299] D_loss: -0.7028, G_loss: 1.1468
  Batch [1150/1299] D_loss: -0.2385, G_loss: -1.4400
  Batch [1160/1299] D_loss: -0.2730, G_loss: 0.5550
  Batch [1170/1299] D_loss: -0.1356, G_loss: -0.0571
  Batch [1180/1299] D_loss: -0.3695, G_loss: 0.5866
  Batch [1190/1299] D_loss: -0.1658, G_loss: -0.8367
  Batch [1200/1299] D_loss: -0.5999, G_loss: -1.3151
  Batch [1210/1299] D_loss: -0.2619, G_loss: 0.9502
  Batch [1220/1299] D_loss: -0.6678, G_loss: 1.2662
  Batch [1230/1299] D_loss: -0.4875, G_loss: -0.6062
  Batch [1240/1299] D_loss: -0.6384, G_loss: 0.0480
  Batch [1250/1299] D_loss: -0.4997, G_loss: 0.8812
  Batch [1260/1299] D_loss: -0.2909, G_loss: -0.5920
  Batch [1270/1299] D_loss: -0.6695, G_loss: -0.5436
  Batch [1280/1299] D_loss: -0.5037, G_loss: 0.7965
  Batch [1290/1299] D_loss: -0.2517, G_loss: -0.8368

Epoch 14 Summary:
  Average D_loss: -0.1612
  Average G_loss: 0.0036

Epoch [15/200]
  Batch [0/1299] D_loss: -0.1920, G_loss: 0.5767
  Batch [10/1299] D_loss: -0.3313, G_loss: -0.4295
  Batch [20/1299] D_loss: -0.6350, G_loss: 0.2699
  Batch [30/1299] D_loss: -0.2995, G_loss: 0.1051
  Batch [40/1299] D_loss: -0.1546, G_loss: -0.0836
  Batch [50/1299] D_loss: -0.1413, G_loss: -0.4212
  Batch [60/1299] D_loss: -0.6746, G_loss: 1.0834
  Batch [70/1299] D_loss: -0.0322, G_loss: 0.1528
  Batch [80/1299] D_loss: -0.3418, G_loss: 0.4677
  Batch [90/1299] D_loss: -0.2354, G_loss: -0.1132
  Batch [100/1299] D_loss: -0.3511, G_loss: 0.3829
  Batch [110/1299] D_loss: -0.2358, G_loss: 0.0197
  Batch [120/1299] D_loss: -0.3275, G_loss: 0.0603
  Batch [130/1299] D_loss: -0.0066, G_loss: -0.4954
  Batch [140/1299] D_loss: -0.1936, G_loss: 0.4153
  Batch [150/1299] D_loss: -0.1586, G_loss: 0.5788
  Batch [160/1299] D_loss: -0.3213, G_loss: 0.0423
  Batch [170/1299] D_loss: -0.6661, G_loss: -0.4955
  Batch [180/1299] D_loss: -0.7633, G_loss: 1.0300
  Batch [190/1299] D_loss: -0.5439, G_loss: 0.7510
  Batch [200/1299] D_loss: -0.3847, G_loss: -0.2700
  Batch [210/1299] D_loss: -0.5005, G_loss: -0.3235
  Batch [220/1299] D_loss: -0.3426, G_loss: 0.5111
  Batch [230/1299] D_loss: -0.2245, G_loss: 0.0156
  Batch [240/1299] D_loss: -0.3576, G_loss: -0.6116
  Batch [250/1299] D_loss: -0.5267, G_loss: 1.0435
  Batch [260/1299] D_loss: -0.5240, G_loss: 1.0722
  Batch [270/1299] D_loss: -0.1999, G_loss: -0.0062
  Batch [280/1299] D_loss: -0.2781, G_loss: 0.5004
  Batch [290/1299] D_loss: -0.8268, G_loss: -1.1326
  Batch [300/1299] D_loss: -0.3295, G_loss: -0.4262
  Batch [310/1299] D_loss: -0.3736, G_loss: 0.0128
  Batch [320/1299] D_loss: -0.3707, G_loss: 1.2523
  Batch [330/1299] D_loss: -0.1675, G_loss: -0.6645
  Batch [340/1299] D_loss: -0.3482, G_loss: -0.8013
  Batch [350/1299] D_loss: -0.4463, G_loss: 0.7098
  Batch [360/1299] D_loss: -0.3698, G_loss: 0.7097
  Batch [370/1299] D_loss: -0.5937, G_loss: -0.9193
  Batch [380/1299] D_loss: -0.3940, G_loss: 0.1299
  Batch [390/1299] D_loss: -0.3752, G_loss: -0.0713
  Batch [400/1299] D_loss: -0.6554, G_loss: 0.3091
  Batch [410/1299] D_loss: -0.4654, G_loss: 0.5663
  Batch [420/1299] D_loss: -0.4540, G_loss: -1.5740
  Batch [430/1299] D_loss: -0.4554, G_loss: 1.4999
  Batch [440/1299] D_loss: -0.4836, G_loss: 1.4083
  Batch [450/1299] D_loss: -0.3195, G_loss: 0.0597
  Batch [460/1299] D_loss: -0.2374, G_loss: 0.6708
  Batch [470/1299] D_loss: -0.4225, G_loss: 0.8197
  Batch [480/1299] D_loss: -0.1920, G_loss: 0.2315
  Batch [490/1299] D_loss: -0.8100, G_loss: -0.9331
  Batch [500/1299] D_loss: -0.3493, G_loss: 0.1049
  Batch [510/1299] D_loss: -0.9656, G_loss: 0.9738
  Batch [520/1299] D_loss: -0.6893, G_loss: -1.8754
  Batch [530/1299] D_loss: -0.2277, G_loss: -0.1329
  Batch [540/1299] D_loss: -0.3827, G_loss: 0.9305
  Batch [550/1299] D_loss: -0.2821, G_loss: 0.3513
  Batch [560/1299] D_loss: -0.3916, G_loss: -0.6489
  Batch [570/1299] D_loss: -0.2085, G_loss: -0.7838
  Batch [580/1299] D_loss: -0.3689, G_loss: 0.3662
  Batch [590/1299] D_loss: -0.1726, G_loss: 0.0197
  Batch [600/1299] D_loss: -0.5517, G_loss: -0.8255
  Batch [610/1299] D_loss: -0.3245, G_loss: 0.1606
  Batch [620/1299] D_loss: -0.3340, G_loss: 0.0585
  Batch [630/1299] D_loss: -0.3300, G_loss: 1.0735
  Batch [640/1299] D_loss: -0.0917, G_loss: -0.5578
  Batch [650/1299] D_loss: -0.3164, G_loss: 0.5454
  Batch [660/1299] D_loss: -0.2870, G_loss: 1.0230
  Batch [670/1299] D_loss: -0.3276, G_loss: -0.3758
  Batch [680/1299] D_loss: -0.1615, G_loss: -0.6648
  Batch [690/1299] D_loss: -0.1702, G_loss: 0.6012
  Batch [700/1299] D_loss: -0.4082, G_loss: 0.3821
  Batch [710/1299] D_loss: -1.1541, G_loss: -1.2736
  Batch [720/1299] D_loss: -0.3348, G_loss: 0.0469
  Batch [730/1299] D_loss: -0.0724, G_loss: 0.5723
  Batch [740/1299] D_loss: -0.3262, G_loss: 0.3427
  Batch [750/1299] D_loss: -0.1907, G_loss: -0.1565
  Batch [760/1299] D_loss: -0.3217, G_loss: -0.1934
  Batch [770/1299] D_loss: -0.2263, G_loss: -0.2875
  Batch [780/1299] D_loss: -0.1526, G_loss: 0.9669
  Batch [790/1299] D_loss: -0.1672, G_loss: 0.9299
  Batch [800/1299] D_loss: -0.4061, G_loss: 0.3309
  Batch [810/1299] D_loss: -0.5097, G_loss: -0.8985
  Batch [820/1299] D_loss: -0.4972, G_loss: 0.5647
  Batch [830/1299] D_loss: -0.4429, G_loss: -0.3823
  Batch [840/1299] D_loss: -0.1557, G_loss: -0.0313
  Batch [850/1299] D_loss: -0.5197, G_loss: -1.7305
  Batch [860/1299] D_loss: -0.2099, G_loss: -0.3401
  Batch [870/1299] D_loss: -0.2122, G_loss: 0.0995
  Batch [880/1299] D_loss: -0.1455, G_loss: 0.5821
  Batch [890/1299] D_loss: -0.5102, G_loss: -0.2654
  Batch [900/1299] D_loss: -0.2252, G_loss: 0.0865
  Batch [910/1299] D_loss: -0.5735, G_loss: -0.6480
  Batch [920/1299] D_loss: -0.1265, G_loss: -0.2083
  Batch [930/1299] D_loss: -0.4828, G_loss: -0.7997
  Batch [940/1299] D_loss: -0.1834, G_loss: -0.2203
  Batch [950/1299] D_loss: -0.4638, G_loss: -0.4865
  Batch [960/1299] D_loss: -0.3995, G_loss: 1.2197
  Batch [970/1299] D_loss: -0.2738, G_loss: -0.0752
  Batch [980/1299] D_loss: -0.3437, G_loss: -0.2031
  Batch [990/1299] D_loss: -0.0042, G_loss: -0.6244
  Batch [1000/1299] D_loss: -0.3652, G_loss: -0.3447
  Batch [1010/1299] D_loss: -0.7418, G_loss: 0.5673
  Batch [1020/1299] D_loss: -0.6126, G_loss: 1.0311
  Batch [1030/1299] D_loss: 0.0782, G_loss: -1.0009
  Batch [1040/1299] D_loss: -0.2411, G_loss: 0.8753
  Batch [1050/1299] D_loss: -0.2264, G_loss: -0.8830
  Batch [1060/1299] D_loss: -0.6461, G_loss: 0.0007
  Batch [1070/1299] D_loss: -0.3701, G_loss: 1.0672
  Batch [1080/1299] D_loss: -0.3496, G_loss: -0.0882
  Batch [1090/1299] D_loss: -0.6354, G_loss: -2.0639
  Batch [1100/1299] D_loss: -0.3514, G_loss: -0.3533
  Batch [1110/1299] D_loss: -0.2255, G_loss: 1.1748
  Batch [1120/1299] D_loss: -0.1948, G_loss: 1.0727
  Batch [1130/1299] D_loss: -0.2767, G_loss: -0.9273
  Batch [1140/1299] D_loss: -0.7898, G_loss: 1.8433
  Batch [1150/1299] D_loss: -0.2576, G_loss: 1.0495
  Batch [1160/1299] D_loss: -0.4127, G_loss: -1.5812
  Batch [1170/1299] D_loss: -1.0555, G_loss: -1.1837
  Batch [1180/1299] D_loss: -0.2979, G_loss: 1.9514
  Batch [1190/1299] D_loss: -0.5555, G_loss: 0.8954
  Batch [1200/1299] D_loss: -1.0770, G_loss: 0.8156
  Batch [1210/1299] D_loss: -0.3137, G_loss: -0.7090
  Batch [1220/1299] D_loss: -0.4987, G_loss: -0.1319
  Batch [1230/1299] D_loss: -0.6283, G_loss: 1.6747
  Batch [1240/1299] D_loss: -0.1686, G_loss: 0.1867
  Batch [1250/1299] D_loss: -0.5612, G_loss: -1.3828
  Batch [1260/1299] D_loss: -0.1096, G_loss: 0.9511
  Batch [1270/1299] D_loss: 0.1188, G_loss: 0.8930
  Batch [1280/1299] D_loss: -0.3733, G_loss: -1.3024
  Batch [1290/1299] D_loss: -0.3902, G_loss: -0.6982

Epoch 15 Summary:
  Average D_loss: -0.1712
  Average G_loss: 0.0040

Epoch [16/200]
  Batch [0/1299] D_loss: -0.3448, G_loss: 1.4204
  Batch [10/1299] D_loss: -0.2650, G_loss: 1.4520
  Batch [20/1299] D_loss: -0.3889, G_loss: 0.8646
  Batch [30/1299] D_loss: -0.2492, G_loss: -0.5818
  Batch [40/1299] D_loss: -0.2103, G_loss: -1.4827
  Batch [50/1299] D_loss: -0.2963, G_loss: 0.7356
  Batch [60/1299] D_loss: -0.1060, G_loss: 1.2967
  Batch [70/1299] D_loss: -0.1853, G_loss: 0.3074
  Batch [80/1299] D_loss: -0.1950, G_loss: -1.0068
  Batch [90/1299] D_loss: -0.8613, G_loss: -0.4216
  Batch [100/1299] D_loss: 0.0596, G_loss: 0.7049
  Batch [110/1299] D_loss: -0.4846, G_loss: -1.0782
  Batch [120/1299] D_loss: -0.4821, G_loss: 0.8235
  Batch [130/1299] D_loss: -0.3006, G_loss: -1.3823
  Batch [140/1299] D_loss: -0.1498, G_loss: 0.2309
  Batch [150/1299] D_loss: -0.3556, G_loss: 1.2701
  Batch [160/1299] D_loss: -0.2595, G_loss: -0.9918
  Batch [170/1299] D_loss: 0.1094, G_loss: -0.9143
  Batch [180/1299] D_loss: -0.1248, G_loss: 0.4547
  Batch [190/1299] D_loss: -0.1242, G_loss: 0.9006
  Batch [200/1299] D_loss: -0.4191, G_loss: -2.9976
  Batch [210/1299] D_loss: -0.4850, G_loss: 1.4516
  Batch [220/1299] D_loss: -0.3764, G_loss: -0.7816
  Batch [230/1299] D_loss: -0.2452, G_loss: 0.0725
  Batch [240/1299] D_loss: 0.0875, G_loss: 1.2462
  Batch [250/1299] D_loss: -0.1516, G_loss: -0.8231
  Batch [260/1299] D_loss: -0.3689, G_loss: 1.0904
  Batch [270/1299] D_loss: 0.0260, G_loss: -0.2110
  Batch [280/1299] D_loss: -0.1330, G_loss: -0.3850
  Batch [290/1299] D_loss: -0.3955, G_loss: -1.5002
  Batch [300/1299] D_loss: -0.7277, G_loss: 1.2458
  Batch [310/1299] D_loss: -0.2973, G_loss: 0.5409
  Batch [320/1299] D_loss: -0.5192, G_loss: 0.3159
  Batch [330/1299] D_loss: -0.6276, G_loss: -1.5419
  Batch [340/1299] D_loss: -0.5815, G_loss: -0.2477
  Batch [350/1299] D_loss: -0.3943, G_loss: -0.3761
  Batch [360/1299] D_loss: -0.5056, G_loss: 0.5655
  Batch [370/1299] D_loss: -0.2102, G_loss: -1.0391
  Batch [380/1299] D_loss: -0.3612, G_loss: -0.6997
  Batch [390/1299] D_loss: -0.5944, G_loss: 1.2226
  Batch [400/1299] D_loss: -0.5855, G_loss: -0.5508
  Batch [410/1299] D_loss: -0.3166, G_loss: -0.3123
  Batch [420/1299] D_loss: -0.6406, G_loss: 0.5108
  Batch [430/1299] D_loss: -0.3873, G_loss: 1.3065
  Batch [440/1299] D_loss: -0.3621, G_loss: 0.0951
  Batch [450/1299] D_loss: -0.0515, G_loss: -0.9454
  Batch [460/1299] D_loss: -0.2146, G_loss: 0.4687
  Batch [470/1299] D_loss: -0.3684, G_loss: 0.7876
  Batch [480/1299] D_loss: -0.3493, G_loss: -1.0036
  Batch [490/1299] D_loss: -0.1469, G_loss: 0.0691
  Batch [500/1299] D_loss: -0.4640, G_loss: 0.7823
  Batch [510/1299] D_loss: -0.5236, G_loss: -0.4512
  Batch [520/1299] D_loss: 0.0138, G_loss: 0.4288
  Batch [530/1299] D_loss: -0.3148, G_loss: -0.8445
  Batch [540/1299] D_loss: -0.2229, G_loss: 0.5282
  Batch [550/1299] D_loss: -0.3844, G_loss: -0.1435
  Batch [560/1299] D_loss: -0.2119, G_loss: -0.2968
  Batch [570/1299] D_loss: -0.2789, G_loss: -0.8933
  Batch [580/1299] D_loss: -0.1841, G_loss: -0.0388
  Batch [590/1299] D_loss: -0.5731, G_loss: -0.0613
  Batch [600/1299] D_loss: -0.2284, G_loss: -0.8686
  Batch [610/1299] D_loss: -0.3536, G_loss: 0.4108
  Batch [620/1299] D_loss: -0.5284, G_loss: -1.3628
  Batch [630/1299] D_loss: -0.3170, G_loss: 0.7394
  Batch [640/1299] D_loss: -0.4726, G_loss: 0.8044
  Batch [650/1299] D_loss: -0.4312, G_loss: -0.4349
  Batch [660/1299] D_loss: -0.5278, G_loss: -1.6778
  Batch [670/1299] D_loss: -0.2899, G_loss: 0.8430
  Batch [680/1299] D_loss: -0.5525, G_loss: 1.2816
  Batch [690/1299] D_loss: -0.2660, G_loss: 0.2267
  Batch [700/1299] D_loss: -0.7829, G_loss: -0.9712
  Batch [710/1299] D_loss: -0.2048, G_loss: 1.3064
  Batch [720/1299] D_loss: -0.3517, G_loss: -0.1600
  Batch [730/1299] D_loss: -0.3598, G_loss: 0.0610
